Model,Location,mAP50,mAP50-95,Precision,Recall,FPS (avg),Latency ms,GPU Util %,CPU Util %,RAM (GB),Power (W),Temp (?C),Params (M),Model Size (MB),GFLOPs,Reduction vs Baseline (%),Validation2 Location,Validation2 mAP50,Validation2 mAP50-95,Validation2 Precision,Validation2 Recall
11l_baseline.pt,research/object/11l/baseline/11l_baseline_pt.json,0.883951,0.678160,0.927588,0.865344,4.04,247.51,88.22,5.83,2.32,17.08,62.34,,,,,,,,,
11l_fp16.engine,research/object/11l/quantization/FP16/11l_fp16_engine.json,0.875706,0.669643,0.927890,0.836457,11.93,83.85,63.03,7.28,2.25,14.17,61.03,,,,,,,,,
11l_int8.engine,research/object/11l/quantization/INT8/11l_int8_engine.json,0.862802,0.641255,0.904685,0.840682,15.13,66.10,57.37,8.26,2.15,10.91,56.46,,,,,,,,,
11m_baseline.engine,research/object/11m/baseline/11m_baseline_engine.json,0.910157,0.656470,0.950333,0.892796,8.06,124.09,73.49,5.05,2.16,16.10,63.49,,,,,,,,,
11m_baseline.pt,research/object/11m/baseline/11m_baseline_pt.json,0.919131,0.662226,0.954566,0.886867,5.18,192.91,83.76,6.18,2.30,16.71,63.39,,,,,,,,,
11m_fp16.engine,research/object/11m/quantization/FP16/11m_fp16_engine.json,0.909099,0.657770,0.946856,0.892514,13.84,72.26,59.67,7.82,2.23,12.61,59.20,,,,,,,,,
11m_int8.engine,research/object/11m/quantization/INT8/11m_int8_engine.json,0.876839,0.617172,0.906002,0.830091,18.18,54.99,55.30,8.95,2.22,9.22,54.14,,,,,,,,,
11n_baseline.engine,research/object/11n/baseline/11n_baseline_engine.json,0.875905,0.644104,0.916618,0.850645,21.49,46.54,53.38,9.55,2.24,10.79,56.01,,,,,,,,,
11n_baseline.pt,research/object/11n/baseline/11n_baseline_pt.json,0.880073,0.650939,0.915665,0.848946,18.40,54.35,61.22,12.81,2.27,12.96,58.66,,,,,,,,,
11n_fp16.engine,research/object/11n/quantization/FP16/11n_fp16_engine.json,0.875804,0.636606,0.916096,0.850645,21.84,45.80,54.57,9.86,2.24,7.02,50.66,,,,,,,,,
11n_int8.engine,research/object/11n/quantization/INT8/11n_int8_engine.json,0.884479,0.628463,0.896477,0.872978,23.11,43.27,50.14,9.92,2.15,6.23,48.78,,,,,,,,,
11s_baseline.engine,research/object/11s/baseline/11s_baseline_engine.json,0.894099,0.685480,0.917290,0.863875,13.67,73.13,60.08,7.66,2.15,12.71,58.84,,,,,,,,,
11s_baseline.pt,research/object/11s/baseline/11s_baseline_pt.json,0.896497,0.679146,0.942463,0.853465,10.73,93.18,76.22,8.54,2.30,15.08,60.94,,,,,,,,,
11s_fp16.engine,research/object/11s/quantization/FP16/11s_fp16_engine.json,0.893936,0.684795,0.917203,0.864053,21.30,46.94,52.59,9.72,2.24,8.99,53.74,,,,,,,,,
11s_int8.engine,research/object/11s/quantization/INT8/11s_int8_engine.json,0.882078,0.657954,0.916177,0.853339,21.83,45.81,51.45,9.61,2.23,7.10,49.98,,,,,,,,,
11x_baseline.pt,research/object/11x/baseline/11x_baseline_pt.json,0.900260,0.672329,0.968614,0.882824,2.31,433.47,93.13,5.76,2.66,17.93,64.15,,,,,,,,,
11x_fp16.engine,research/object/11x/quantization/FP16/11x_fp16_engine.json,0.897870,0.658205,0.960259,0.883246,7.17,139.47,75.19,4.82,2.23,16.28,63.98,,,,,,,,,
