combo_name,object_model_path,pose_model_path,analysis_json,frames_processed,video_fps,runtime_fps,average_latency_ms,gpu_avg_power_w,gpu_avg_temp_c,gpu_avg_utilization_pct,PS Power (W),Temp (C),GPU (%),pass_events,drive_events,pred_passes_club1,pred_passes_club2,pred_passes_total,gt_passes_club1,gt_passes_club2,gt_passes_home,gt_passes_away,gt_passes_unknown,gt_passes_total,gt_team_mapping,map_compare_on,map_confidence_min,map_dedupe_window_s,map_time_offset_s,max_eval_time_s,pred_events_raw,pred_events_kept,gt_events_eval,mAP1,mAP2,mAP3,mAP4,mAP5,mAP1-5,partial,complete,error
obj26l_fp16_pose26n_fp16,/home/jetson/Desktop/JackColeman/football-analysis/football_analysis/research/object/26l/quantization/FP16/26l_DS3_fp16.engine,/home/jetson/Desktop/JackColeman/football-analysis/football_analysis/research/pose/26n-pose/quantization/FP16/26n_pose_fp16.engine,/home/jetson/Desktop/JackColeman/football-analysis/football_analysis/stat_analysis/pass_analysis_runs/top_settings_replay/replay_20260319_204802/rank_11/batch_20260320_072433/obj26l_fp16_pose26n_fp16.analysis.json,1500,25.0,5.5625,176.4999,4.659,52.3943,52.368,4.659,52.3943,52.368,25,17,5,20,25,7,23,7,23,0,30,"home->club1,away->club2",start,0.15,0.05,0.0,60.0,25,25,30,0.503764,0.635556,0.635556,0.68,0.68,0.626975,True,False,
obj26l_fp16_pose26n_p80_fp16,/home/jetson/Desktop/JackColeman/football-analysis/football_analysis/research/object/26l/quantization/FP16/26l_DS3_fp16.engine,/home/jetson/Desktop/JackColeman/football-analysis/football_analysis/research/pose/26n-pose/pruning_quantization/80/FP16/26n_pose_p80_fp16.engine,/home/jetson/Desktop/JackColeman/football-analysis/football_analysis/stat_analysis/pass_analysis_runs/top_settings_replay/replay_20260319_204802/rank_11/batch_20260320_072433/obj26l_fp16_pose26n_p80_fp16.analysis.json,1500,25.0,5.7646,170.8111,4.701,53.9598,50.1639,4.701,53.9598,50.1639,28,21,2,26,28,7,23,7,23,0,30,"home->club1,away->club2",start,0.15,0.05,0.0,60.0,28,28,30,0.344407,0.425532,0.459305,0.4906,0.535891,0.451147,True,False,
obj26l_fp16_pose26n_kd26x_p80_fp16,/home/jetson/Desktop/JackColeman/football-analysis/football_analysis/research/object/26l/quantization/FP16/26l_DS3_fp16.engine,/home/jetson/Desktop/JackColeman/football-analysis/football_analysis/research/pose/26n-pose/distillation_pruning_quantization/80/FP16/26n_pose_from_26x_80p_fp16.engine,/home/jetson/Desktop/JackColeman/football-analysis/football_analysis/stat_analysis/pass_analysis_runs/top_settings_replay/replay_20260319_204802/rank_11/batch_20260320_072433/obj26l_fp16_pose26n_kd26x_p80_fp16.analysis.json,1500,25.0,5.7381,171.6404,4.6432,53.72,47.1301,4.6432,53.72,47.1301,24,23,1,23,24,7,23,7,23,0,30,"home->club1,away->club2",start,0.15,0.05,0.0,60.0,24,24,30,0.433519,0.522656,0.53576,0.615936,0.615936,0.544761,True,False,
obj26l_fp16_pose26n_kd_p80_int8,/home/jetson/Desktop/JackColeman/football-analysis/football_analysis/research/object/26l/quantization/FP16/26l_DS3_fp16.engine,/home/jetson/Desktop/JackColeman/football-analysis/football_analysis/research/pose/26n-pose/distillation_pruning_quantization/80/INT8/26n_pose_from_26m_80p_int8.engine,/home/jetson/Desktop/JackColeman/football-analysis/football_analysis/stat_analysis/pass_analysis_runs/top_settings_replay/replay_20260319_204802/rank_11/batch_20260320_072433/obj26l_fp16_pose26n_kd_p80_int8.analysis.json,1500,25.0,5.7442,171.3387,4.4825,53.3783,46.081,4.4825,53.3783,46.081,31,19,5,26,31,7,23,7,23,0,30,"home->club1,away->club2",start,0.15,0.05,0.0,60.0,31,31,30,0.392279,0.598967,0.699853,0.771335,0.771335,0.646754,True,False,
obj26s_baseline_pose26n_fp16,/home/jetson/Desktop/JackColeman/football-analysis/football_analysis/research/object/26s/baseline/26s_DS3_baseline.engine,/home/jetson/Desktop/JackColeman/football-analysis/football_analysis/research/pose/26n-pose/quantization/FP16/26n_pose_fp16.engine,/home/jetson/Desktop/JackColeman/football-analysis/football_analysis/stat_analysis/pass_analysis_runs/top_settings_replay/replay_20260319_204802/rank_11/batch_20260320_072433/obj26s_baseline_pose26n_fp16.analysis.json,1500,25.0,5.9471,165.4778,3.7681,52.7898,48.7112,3.7681,52.7898,48.7112,17,16,2,15,17,7,23,7,23,0,30,"home->club1,away->club2",start,0.15,0.05,0.0,60.0,17,17,30,0.474332,0.477979,0.566667,0.566667,0.566667,0.530462,True,False,
obj26s_baseline_pose26n_p80_fp16,/home/jetson/Desktop/JackColeman/football-analysis/football_analysis/research/object/26s/baseline/26s_DS3_baseline.engine,/home/jetson/Desktop/JackColeman/football-analysis/football_analysis/research/pose/26n-pose/pruning_quantization/80/FP16/26n_pose_p80_fp16.engine,/home/jetson/Desktop/JackColeman/football-analysis/football_analysis/stat_analysis/pass_analysis_runs/top_settings_replay/replay_20260319_204802/rank_11/batch_20260320_072433/obj26s_baseline_pose26n_p80_fp16.analysis.json,1500,25.0,6.1173,160.8543,3.7565,52.779,49.3864,3.7565,52.779,49.3864,15,20,2,13,15,7,23,7,23,0,30,"home->club1,away->club2",start,0.15,0.05,0.0,60.0,15,15,30,0.379114,0.379114,0.464444,0.5,0.5,0.444535,True,False,
obj26s_baseline_pose26n_kd26x_p80_fp16,/home/jetson/Desktop/JackColeman/football-analysis/football_analysis/research/object/26s/baseline/26s_DS3_baseline.engine,/home/jetson/Desktop/JackColeman/football-analysis/football_analysis/research/pose/26n-pose/distillation_pruning_quantization/80/FP16/26n_pose_from_26x_80p_fp16.engine,/home/jetson/Desktop/JackColeman/football-analysis/football_analysis/stat_analysis/pass_analysis_runs/top_settings_replay/replay_20260319_204802/rank_11/batch_20260320_072433/obj26s_baseline_pose26n_kd26x_p80_fp16.analysis.json,1500,25.0,6.1335,160.4337,3.7602,52.7528,48.4658,3.7602,52.7528,48.4658,16,20,1,15,16,7,23,7,23,0,30,"home->club1,away->club2",start,0.15,0.05,0.0,60.0,16,16,30,0.440909,0.443056,0.533333,0.533333,0.533333,0.496793,True,False,
obj26s_baseline_pose26n_kd_p80_int8,/home/jetson/Desktop/JackColeman/football-analysis/football_analysis/research/object/26s/baseline/26s_DS3_baseline.engine,/home/jetson/Desktop/JackColeman/football-analysis/football_analysis/research/pose/26n-pose/distillation_pruning_quantization/80/INT8/26n_pose_from_26m_80p_int8.engine,/home/jetson/Desktop/JackColeman/football-analysis/football_analysis/stat_analysis/pass_analysis_runs/top_settings_replay/replay_20260319_204802/rank_11/batch_20260320_072433/obj26s_baseline_pose26n_kd_p80_int8.analysis.json,1500,25.0,6.2065,158.4655,3.6797,52.5498,49.4587,3.6797,52.5498,49.4587,18,20,3,15,18,7,23,7,23,0,30,"home->club1,away->club2",start,0.15,0.05,0.0,60.0,18,18,30,0.462092,0.557407,0.6,0.6,0.6,0.5639,True,False,
obj26m_p80_fp16_pose26n_fp16,/home/jetson/Desktop/JackColeman/football-analysis/football_analysis/research/object/26m/pruning_quantization/80/FP16/26m_DS3_p80_fp16.engine,/home/jetson/Desktop/JackColeman/football-analysis/football_analysis/research/pose/26n-pose/quantization/FP16/26n_pose_fp16.engine,/home/jetson/Desktop/JackColeman/football-analysis/football_analysis/stat_analysis/pass_analysis_runs/top_settings_replay/replay_20260319_204802/rank_11/batch_20260320_072433/obj26m_p80_fp16_pose26n_fp16.analysis.json,1500,25.0,6.2742,156.7889,4.007,51.9501,42.7195,4.007,51.9501,42.7195,23,16,5,18,23,7,23,7,23,0,30,"home->club1,away->club2",start,0.15,0.05,0.0,60.0,23,23,30,0.474693,0.575519,0.575519,0.611747,0.662319,0.57996,True,False,
obj26m_p80_fp16_pose26n_p80_fp16,/home/jetson/Desktop/JackColeman/football-analysis/football_analysis/research/object/26m/pruning_quantization/80/FP16/26m_DS3_p80_fp16.engine,/home/jetson/Desktop/JackColeman/football-analysis/football_analysis/research/pose/26n-pose/pruning_quantization/80/FP16/26n_pose_p80_fp16.engine,/home/jetson/Desktop/JackColeman/football-analysis/football_analysis/stat_analysis/pass_analysis_runs/top_settings_replay/replay_20260319_204802/rank_11/batch_20260320_072433/obj26m_p80_fp16_pose26n_p80_fp16.analysis.json,1500,25.0,6.5244,150.6688,4.0513,52.1328,50.7523,4.0513,52.1328,50.7523,25,12,3,22,25,7,23,7,23,0,30,"home->club1,away->club2",start,0.15,0.05,0.0,60.0,25,25,30,0.419677,0.713536,0.750957,0.750957,0.761101,0.679245,True,False,
