replay_dir,rank_group,rank_number,batch_dir,within_rank_position,combo_name,mAP1-5,mAP1,mAP2,mAP3,mAP4,mAP5,runtime_fps,average_latency_ms
replay_20260319_204802,rank_01,1,batch_20260319_204822,1,obj26m_p80_fp16_pose26n_p80_fp16,0.678485,0.425929,0.695085,0.738376,0.738376,0.794658,6.4221,153.1166
replay_20260319_204802,rank_01,1,batch_20260319_204822,2,obj26l_fp16_pose26n_fp16,0.625231,0.495046,0.635556,0.635556,0.68,0.68,5.4756,177.0341
replay_20260319_204802,rank_01,1,batch_20260319_204822,3,obj26l_fp16_pose26n_kd_p80_int8,0.618988,0.354521,0.560272,0.703279,0.738435,0.738435,5.7543,170.936
replay_20260319_204802,rank_01,1,batch_20260319_204822,4,obj26m_p80_fp16_pose26n_fp16,0.568323,0.416512,0.575519,0.575519,0.611747,0.662319,6.2298,157.5818
replay_20260319_204802,rank_01,1,batch_20260319_204822,5,obj26s_baseline_pose26n_kd_p80_int8,0.563900,0.462092,0.557407,0.6,0.6,0.6,6.205,158.5704
replay_20260319_204802,rank_01,1,batch_20260319_204822,6,obj26l_fp16_pose26n_kd26x_p80_fp16,0.544761,0.433519,0.522656,0.53576,0.615936,0.615936,5.7969,169.6846
replay_20260319_204802,rank_01,1,batch_20260319_204822,7,obj26m_p80_fp16_pose26n_kd26x_p80_fp16,0.541116,0.332693,0.471002,0.590438,0.655724,0.655724,6.4723,151.9183
replay_20260319_204802,rank_01,1,batch_20260319_204822,8,obj26s_baseline_pose26n_fp16,0.533053,0.482633,0.482633,0.566667,0.566667,0.566667,5.9337,165.481
replay_20260319_204802,rank_01,1,batch_20260319_204822,9,obj26m_p80_fp16_pose26n_kd_p80_int8,0.517387,0.359711,0.498599,0.527171,0.58549,0.615966,6.6026,148.8581
replay_20260319_204802,rank_01,1,batch_20260319_204822,10,obj26s_fp16_pose26n_fp16,0.498205,0.445513,0.445513,0.533333,0.533333,0.533333,6.9815,140.5039
replay_20260319_204802,rank_02,2,batch_20260319_215159,1,obj26m_p80_fp16_pose26n_p80_fp16,0.696730,0.405212,0.737365,0.775811,0.775811,0.789448,6.5052,151.1332
replay_20260319_204802,rank_02,2,batch_20260319_215159,2,obj26l_fp16_pose26n_fp16,0.686942,0.553383,0.670424,0.705073,0.752914,0.752914,5.568,176.3459
replay_20260319_204802,rank_02,2,batch_20260319_215159,3,obj26l_fp16_pose26n_kd_p80_int8,0.654857,0.40819,0.590127,0.736695,0.769637,0.769637,5.7471,171.2067
replay_20260319_204802,rank_02,2,batch_20260319_215159,4,obj26m_p80_fp16_pose26n_kd26x_p80_fp16,0.583012,0.349539,0.533085,0.62395,0.688018,0.720468,6.4872,151.5627
replay_20260319_204802,rank_02,2,batch_20260319_215159,5,obj26s_baseline_pose26n_kd_p80_int8,0.574060,0.427193,0.543108,0.633333,0.633333,0.633333,6.1846,159.1069
replay_20260319_204802,rank_02,2,batch_20260319_215159,6,obj26m_p80_fp16_pose26n_fp16,0.567911,0.404634,0.567273,0.567273,0.606435,0.693939,6.174,159.3667
replay_20260319_204802,rank_02,2,batch_20260319_215159,7,obj26l_fp16_pose26n_kd26x_p80_fp16,0.543561,0.431376,0.5209,0.533657,0.615936,0.615936,5.7444,171.4148
replay_20260319_204802,rank_02,2,batch_20260319_215159,8,obj26s_baseline_pose26n_kd26x_p80_fp16,0.528901,0.471301,0.473203,0.566667,0.566667,0.566667,6.1104,161.0687
replay_20260319_204802,rank_02,2,batch_20260319_215159,9,obj26s_fp16_pose26n_kd_p80_int8,0.528889,0.335185,0.509259,0.6,0.6,0.6,7.3544,133.4934
replay_20260319_204802,rank_02,2,batch_20260319_215159,10,obj26s_fp16_pose26n_fp16,0.509223,0.410259,0.435854,0.566667,0.566667,0.566667,7.0413,139.4992
replay_20260319_204802,rank_03,3,batch_20260319_225538,1,obj26l_fp16_pose26n_kd_p80_int8,0.682483,0.416175,0.623411,0.766155,0.803336,0.803336,5.7602,170.8773
replay_20260319_204802,rank_03,3,batch_20260319_225538,2,obj26m_p80_fp16_pose26n_p80_fp16,0.647369,0.386195,0.682536,0.718841,0.718841,0.730435,6.4543,152.3439
replay_20260319_204802,rank_03,3,batch_20260319_225538,3,obj26l_fp16_pose26n_fp16,0.636263,0.524649,0.637778,0.645556,0.686667,0.686667,5.5417,177.1831
replay_20260319_204802,rank_03,3,batch_20260319_225538,4,obj26m_p80_fp16_pose26n_fp16,0.606296,0.495627,0.60221,0.60221,0.639766,0.691667,6.1524,159.9259
replay_20260319_204802,rank_03,3,batch_20260319_225538,5,obj26m_p80_fp16_pose26n_kd26x_p80_fp16,0.596882,0.437037,0.538535,0.626566,0.691136,0.691136,6.4931,151.4612
replay_20260319_204802,rank_03,3,batch_20260319_225538,6,obj26l_fp16_pose26n_kd26x_p80_fp16,0.585767,0.475843,0.562894,0.576447,0.656825,0.656825,5.7302,171.8255
replay_20260319_204802,rank_03,3,batch_20260319_225538,7,obj26s_baseline_pose26n_kd_p80_int8,0.563900,0.462092,0.557407,0.6,0.6,0.6,6.1865,159.0093
replay_20260319_204802,rank_03,3,batch_20260319_225538,8,obj26s_fp16_pose26n_kd26x_p80_fp16,0.540256,0.438889,0.462393,0.6,0.6,0.6,7.3067,134.3946
replay_20260319_204802,rank_03,3,batch_20260319_225538,9,obj26s_baseline_pose26n_kd26x_p80_fp16,0.528901,0.471301,0.473203,0.566667,0.566667,0.566667,6.1115,160.9852
replay_20260319_204802,rank_03,3,batch_20260319_225538,10,obj26m_p80_fp16_pose26n_kd_p80_int8,0.517921,0.364611,0.499657,0.52693,0.584594,0.613815,6.495,151.3533
replay_20260319_204802,rank_04,4,batch_20260319_235920,1,obj26l_fp16_pose26n_kd_p80_int8,0.682483,0.416175,0.623411,0.766155,0.803336,0.803336,5.769,170.6235
replay_20260319_204802,rank_04,4,batch_20260319_235920,2,obj26m_p80_fp16_pose26n_p80_fp16,0.641855,0.380065,0.673908,0.715404,0.715404,0.724495,6.4462,152.5215
replay_20260319_204802,rank_04,4,batch_20260319_235920,3,obj26l_fp16_pose26n_fp16,0.637204,0.524649,0.637778,0.646928,0.688333,0.688333,5.533,177.34
replay_20260319_204802,rank_04,4,batch_20260319_235920,4,obj26l_fp16_pose26n_kd26x_p80_fp16,0.588305,0.480138,0.567124,0.580614,0.656825,0.656825,5.7342,171.7476
